i,A_i_C_Car_mean,A_i_C_Car_min,A_i_C_Car_max,A_i_C_Car_std,A_i_C_Car_median,A_i_C_Car_p_25,A_i_C_Car_p_75
1,36.354,20.00026,75.59961,9.169627,36.155655,29.201237,43.099964
3,39.130547,20.042114,63.842514,8.556088,39.81214,33.1306,45.17724
5,40.06664,20.029167,70.699005,9.339609,39.944283,33.37908,47.44404
6,40.504898,20.050812,71.59961,9.405947,41.323586,34.15544,47.74555
7,41.985023,20.052559,71.81528,9.78299,42.72564,35.49381,49.62488
9,42.5989,22.722618,64.37966,9.6267805,45.67937,33.813847,50.2631
11,41.469822,20.0093,69.59961,10.005267,41.22252,34.187084,49.2631
12,40.583138,20.098282,70.42996,9.886675,40.317245,33.27817,48.30731
15,38.53798,20.68586,67.86859,9.858999,38.785595,32.594822,43.752808
19,44.860065,20.010994,69.74555,10.161295,46.47574,37.578285,52.2631
30,42.9425,20.241608,59.628395,9.119186,44.576897,35.477146,50.19365
31,42.84718,20.041267,67.589096,10.235684,44.74555,37.63398,51.2631
32,43.6671,21.431,56.589096,10.011083,45.709663,35.208504,52.782944
33,44.059677,22.211067,70.772415,9.845446,45.731316,35.18799,52.13562
36,42.286533,20.72116,67.083305,9.895607,45.793594,36.227306,47.44574
39,41.556747,20.010994,66.89856,10.269124,42.746483,34.039036,50.14944
40,43.594204,20.178146,65.3362,10.269723,46.72402,36.86628,51.414993
42,40.99276,21.806015,55.686512,9.398616,42.0428,33.463646,49.852394
49,38.71979,20.117424,68.87848,9.433627,40.1207,32.25042,45.107204
51,43.28531,20.178146,71.87848,10.322217,44.672813,37.097874,50.41298
52,41.482403,20.178146,59.587494,9.659188,43.074463,35.370422,49.063457
79,41.992702,20.55484,67.87848,9.492028,42.81173,35.779934,48.19365
81,38.396587,20.01255,72.11728,9.274938,38.58702,31.483963,45.51988
83,39.694572,20.01735,70.87848,8.56763,39.37263,35.003983,46.093323
84,40.126217,20.00953,71.87848,9.274675,40.687134,34.092922,45.58881
87,42.146915,20.060036,72.48331,9.9768505,43.4949,35.60042,50.084194
93,42.944782,21.507439,58.772415,10.001871,45.10228,36.616318,52.19365
96,42.227444,20.224274,68.87848,9.815635,43.77089,35.154022,48.832882
98,38.22462,20.092865,72.062256,9.37494,36.2631,31.576729,45.2631
100,34.172623,20.042114,69.066444,8.935126,31.893173,27.846565,38.310135
101,35.497124,20.8088,71.59961,10.23756,34.2631,29.189278,39.72596
102,36.858425,20.016266,72.59961,8.16102,37.336334,31.852394,42.441864
106,35.181904,20.146141,67.684555,8.460695,36.18905,28.119743,41.614143
111,34.406464,20.420616,69.06682,9.24419,33.500572,27.81875,38.26439
114,32.37844,20.075272,68.59961,8.382104,31.955551,24.604828,38.641968
115,33.88669,20.042114,70.59961,8.283444,32.804943,27.881393,38.2631
117,31.40695,20.005081,68.59961,7.359519,30.2631,25.43192,35.91332
118,31.993021,20.0093,66.59961,6.981803,31.325489,26.777412,36.70768
119,33.95888,20.038307,68.59961,9.442316,29.49004,27.344,39.20923
121,30.861032,20.563698,63.21815,9.857671,26.649536,23.407936,36.961067
123,34.332996,20.120079,72.59961,8.6779785,32.586586,30.266441,35.805355
131,39.350437,20.221954,72.59961,9.171232,40.06988,32.617897,45.997494
132,38.847664,20.04522,71.14683,9.0558815,38.878475,32.347984,45.99705
133,37.837097,20.001976,69.7856,9.50024,38.013805,30.702305,45.677544
134,42.1722,20.44027,53.29836,8.412417,44.29012,36.319725,49.861897
135,38.83454,20.037086,71.0011,9.27555,38.98216,31.94363,45.852444
136,35.37586,20.042114,71.79158,8.578116,35.15794,29.224276,41.901638
137,36.969627,20.017998,73.39738,8.964445,36.89048,30.295687,43.829674
138,39.258045,20.485023,56.54823,10.048795,41.66488,32.137074,47.2631
143,39.98743,20.061485,61.628395,9.751614,41.5746,32.38836,47.67336
145,41.659744,20.06314,71.7856,10.406681,42.331875,34.056343,50.32648
146,41.064354,20.211067,73.628395,9.910215,41.41439,33.378372,48.19926
147,43.082333,20.613014,66.71185,10.141918,45.006603,36.326317,52.19365
148,43.084114,20.051765,72.7856,11.483055,43.84532,34.096905,52.313553
150,42.738277,20.026863,71.14769,10.949313,43.413948,34.485413,52.038033
151,40.669434,20.027298,63.878475,9.005486,41.19365,36.309566,46.879456
154,34.872852,20.137886,62.88613,8.018412,33.998867,29.200058,41.479763
157,34.604816,20.015594,72.79158,8.80888,33.951145,27.600597,41.433495
158,36.5343,20.020462,73.79158,9.131374,36.237633,30.027729,43.53287
159,37.874134,20.042114,63.873276,8.747171,38.234825,31.857254,44.70768
162,38.49371,20.017815,71.59961,9.4700165,38.878944,31.493374,45.852394
163,36.879417,20.073357,61.791576,9.19526,36.920082,29.638979,44.2631
166,38.4541,20.0961,58.791576,9.795304,39.96761,29.584787,47.851593
174,31.528736,21.022614,66.94757,7.812181,27.820953,26.032707,36.413097
175,31.085833,20.006508,72.25386,8.305473,29.618294,24.974264,35.459797
176,31.011522,20.009293,69.279785,7.06814,30.340168,25.373032,35.343643
177,31.829699,20.001915,73.25386,7.782768,30.86348,25.321114,38.142807
180,32.422104,20.008904,60.38247,7.284894,31.227194,27.050041,37.541653
184,29.63852,20.069305,53.23071,5.938343,29.025864,25.051239,33.242558
185,32.528904,20.06314,50.791576,7.443475,31.192905,27.166576,37.2631
186,32.997356,20.052643,72.387924,8.018405,32.44672,26.531918,39.198734
188,33.79106,20.060669,72.25386,7.930406,33.473705,27.468006,39.689835
189,33.27419,20.013382,71.25386,8.244077,32.398796,26.522068,39.772415
195,31.885391,20.19851,50.791576,6.695282,32.5309,26.574856,33.918736
196,27.281902,20.635536,49.565746,7.1572375,22.884262,22.884262,31.1689
197,33.416386,20.058334,55.791576,7.782923,32.42064,27.512733,38.55383
205,38.69059,20.264175,55.53345,9.585882,40.013206,30.674717,47.2631
206,36.341244,20.256973,53.53345,8.041543,37.741215,30.850391,43.20014
207,36.29799,20.003174,66.7856,8.501836,36.29879,29.758251,42.89343
208,37.879025,20.017975,70.74184,8.980695,38.852394,31.231073,43.826584
209,34.347134,20.04522,52.259705,7.66782,34.9625,28.742722,41.032696
212,32.5322,20.012955,62.533447,7.6630173,32.413933,25.57106,38.227036
213,34.983772,20.020126,64.7856,8.385436,34.74555,28.065117,41.84729
218,32.658596,20.079727,65.398796,7.8921413,31.646208,26.41613,38.763817
222,31.27307,20.078598,57.753864,7.2729983,29.825441,24.777412,36.62757
