i,A_i_C_PT_mean,A_i_C_PT_min,A_i_C_PT_max,A_i_C_PT_std,A_i_C_PT_median,A_i_C_PT_p_25,A_i_C_PT_p_75
1,49.93645,20.005371,84.83633,13.428157,51.49776,40.728695,60.133522
3,55.24414,20.224342,81.382195,14.311471,60.006348,45.447414,66.334305
5,53.79497,20.23507,84.50618,14.928509,57.430336,41.967968,66.73419
6,54.90038,20.037613,84.51882,14.824416,59.108517,42.430546,67.30089
7,56.385853,20.049896,83.42217,15.272318,60.87677,45.86165,68.74419
9,57.56825,21.203934,82.23087,16.080997,61.4617,45.031933,68.70424
11,55.425217,21.238945,83.75251,14.199674,59.045723,45.616722,65.50119
12,56.64683,20.411095,84.487144,14.858054,60.591503,46.62684,67.39679
15,56.375652,20.95079,83.27509,15.157171,60.284416,47.537346,64.274155
19,59.678535,20.015923,84.75984,16.798563,65.05592,48.588295,73.32802
30,60.882942,20.741661,84.114044,17.548155,65.431656,48.7743,76.05523
31,62.020954,20.569077,83.67262,16.711058,67.30466,50.506626,75.996475
32,62.45575,20.872597,83.478134,17.827858,67.048775,49.57806,77.51424
33,62.83622,22.397324,85.17598,17.69509,68.42325,51.689236,78.83821
36,62.315037,20.87239,83.31756,16.47908,65.25524,56.055,76.24142
39,57.069065,20.138008,80.282166,15.726684,58.62606,47.403267,71.47911
40,61.260406,23.142662,83.15822,16.988201,65.98768,50.259796,75.637085
42,59.883884,20.37867,81.679565,15.604404,62.5477,54.057964,73.28788
49,59.824665,20.299889,83.98718,16.751505,62.03755,47.675957,75.2259
51,61.926487,20.039192,82.583015,16.300913,64.882416,52.371613,73.81029
52,61.37649,21.224152,80.5273,16.758327,66.16883,49.79526,76.47456
79,61.415867,20.47039,80.56889,16.670637,65.50742,52.71541,76.92915
81,57.017307,20.007126,86.84852,14.620445,58.85363,48.148018,69.27101
83,60.608967,20.40702,86.53928,14.74898,63.222115,54.30105,72.31266
84,60.100018,20.946144,86.11355,14.233694,62.468502,53.480927,71.09357
87,62.653633,20.123146,83.47316,16.20155,66.902,51.23749,75.780525
93,63.48416,24.579247,83.529144,17.05884,67.26607,50.792526,78.05408
96,62.488087,20.309044,85.97878,17.050404,65.81507,53.423397,76.75192
98,52.11242,21.624748,84.77099,14.418554,53.519215,43.471977,60.552887
100,51.628704,20.2303,86.544106,14.23613,52.721924,43.319386,60.817883
101,50.664364,20.143013,85.05135,14.30922,51.22917,42.784393,59.142746
102,51.94825,20.02813,86.403336,13.347446,55.202484,41.94781,61.931694
106,48.971775,20.25724,84.32835,12.034537,51.668526,40.085106,57.445984
111,50.626053,21.53334,84.16544,13.342117,50.34326,42.557648,60.49695
114,47.13389,20.356705,83.04031,13.13726,47.8056,36.322,55.673595
115,49.90854,20.940987,83.57176,13.297359,49.749577,41.499985,60.062546
