i,A_i_H_Car_mean,A_i_H_Car_min,A_i_H_Car_max,A_i_H_Car_std,A_i_H_Car_median,A_i_H_Car_p_25,A_i_H_Car_p_75
3,36.35339,20.042114,63.842514,9.365043,37.73925,29.382832,39.51699
84,37.68132,20.538437,58.878475,8.376219,38.67825,30.803581,42.517555
96,41.718334,20.224274,59.772415,9.911408,45.09864,36.21695,50.243587
114,28.80843,20.32325,57.91627,9.098319,24.256119,22.962776,32.3095
133,38.444736,20.517357,54.785595,9.039682,41.31126,31.63199,43.27704
143,41.11487,23.042122,61.628395,10.102182,40.922577,32.31637,49.2631
150,43.79495,21.18142,60.147686,11.006332,44.631535,36.699387,54.537918
157,34.866745,20.115623,58.100983,8.262489,35.48305,29.791914,36.893753
176,27.008476,20.135597,59.42748,8.87654,22.724861,22.059849,27.859758
177,29.952486,20.211761,61.253857,7.872243,28.503948,27.093243,31.190365
180,30.60099,20.234833,52.699715,6.4808745,29.946426,28.294518,31.772861
189,32.78281,20.325577,56.253857,6.8333235,34.02165,29.455347,34.88072
231,26.540363,20.564499,51.1884,6.8979816,21.975204,21.975204,29.209911
233,26.01771,20.378883,54.672367,7.369158,22.951645,20.515259,30.171118
234,32.3789,20.17498,47.094658,7.1481824,35.28261,25.695118,36.693317
243,37.685207,20.492653,85.48359,10.392244,37.82241,29.682772,41.2631
251,40.72537,20.9999,85.13193,9.655803,41.437035,35.01615,44.126713
252,35.669518,21.217972,84.42041,10.792778,33.994644,27.513039,39.86219
260,31.129097,20.35186,63.84384,10.285671,27.877773,24.223343,34.768566
272,29.960405,20.026466,57.163067,10.728258,27.286613,20.026466,37.32008
276,32.59942,20.488533,63.795876,10.547411,31.878475,24.94477,34.807484
277,31.33371,20.423805,61.163067,11.450145,26.878475,22.700184,39.509567
286,36.437813,20.204323,83.84631,15.36997,35.420406,23.022923,44.758904
288,38.4804,20.65953,62.178154,12.614547,38.216324,28.771748,44.630627
289,36.454414,21.962608,52.509106,9.767821,36.423805,30.433697,42.57316
293,31.194347,20.168823,63.178154,10.981077,27.70768,21.893753,33.967957
308,33.015976,20.107307,85.178154,13.172888,27.83717,22.818443,40.234825
314,33.089363,20.168823,86.042114,10.523972,30.307419,26.995613,34.2172
332,29.870935,20.117332,58.163067,10.269786,25.681551,22.590414,38.552513
336,29.440296,20.404297,63.163067,9.970117,25.550808,21.986313,34.08007
337,32.823017,20.225044,85.16307,12.271158,29.088957,24.393816,38.878475
343,34.467808,20.391182,52.184,7.192258,35.50689,29.36274,38.719563
348,36.89447,20.016113,64.62453,8.128846,37.852394,32.06277,39.60832
350,31.451115,20.24546,62.6102,8.938096,29.336842,27.92614,32.009823
353,29.081202,21.129242,58.153534,8.980096,24.314491,23.52918,31.619377
358,30.797134,20.507835,60.165886,10.780444,27.505522,23.065868,38.4467
360,32.13528,20.222862,58.36602,7.873884,30.774773,28.091625,35.192627
363,31.847456,20.84111,58.351868,7.8291254,30.739239,26.873215,35.529343
368,29.885616,20.423805,59.351868,8.170742,26.594751,24.45961,32.76318
369,30.545885,20.28347,61.38937,10.043986,27.68301,23.414043,32.368202
370,30.269558,20.943634,61.117332,11.119243,27.459236,22.660543,31.569115
373,30.26212,20.286507,85.35187,9.691653,27.176434,24.785835,33.284306
380,30.95109,21.605522,52.11733,8.316122,29.712944,24.883026,32.635754
395,37.5092,20.154175,61.337128,8.314585,38.163353,34.365704,39.62707
396,35.396088,21.18377,54.59961,9.412061,31.2631,29.543468,42.666344
397,33.921356,20.161865,51.05337,7.327069,34.13903,29.566914,36.246845
400,32.15831,20.587494,57.04436,8.55916,29.638035,27.984549,34.92272
404,40.404152,20.042114,84.92381,10.006327,41.887135,35.132236,45.2631
407,29.915886,20.318733,52.923813,7.512386,29.068134,23.90128,31.400719
415,31.38713,20.000443,51.02235,9.64759,28.96846,22.513828,37.967957
419,31.818954,20.957718,58.95555,9.735064,27.257122,24.736908,37.329117
420,33.547844,20.214241,59.15544,7.9607124,33.300217,28.398258,35.687843
421,31.005913,20.04847,55.308914,9.185394,28.29234,23.61901,36.2172
425,33.819054,20.5225,84.95555,14.01091,26.745548,24.99385,41.073517
426,29.96916,20.016624,51.64711,7.979586,26.297714,24.989208,33.98728
427,30.191576,20.425667,49.72482,7.825699,29.745548,23.042091,35.673145
428,27.687988,20.210304,61.400833,7.7584996,23.312988,22.982363,30.887394
429,29.057615,20.010712,53.15544,7.1375914,27.296494,24.748276,32.51074
430,29.452679,20.010712,85.15544,9.103045,27.296494,24.748276,32.51074
434,32.985683,24.462852,50.046253,8.312707,28.756084,27.67937,37.91627
437,33.422043,21.162575,55.493,11.395926,31.418692,23.832664,38.911552
443,28.428783,21.396774,44.365078,9.531641,25.193764,21.504013,29.684292
460,34.999218,23.79158,58.96638,14.349273,28.550797,24.769758,40.80817
462,31.448801,20.679367,50.253857,11.683092,26.500813,23.79158,38.027298
463,35.443096,20.955551,49.253857,13.715281,35.781487,25.294413,45.93017
464,28.575247,20.901627,56.253857,11.470551,23.529118,21.52501,28.175343
470,33.971375,23.695549,62.42748,13.068034,27.22674,24.083735,39.885708
474,39.214966,22.344292,62.52574,17.118975,37.253857,24.75682,55.95555
475,41.994614,20.916267,85.966385,21.855434,37.15544,29.69063,45.27147
476,32.47674,20.916267,63.854103,13.255729,27.51079,23.745552,38.60912
482,33.619225,24.628334,44.253857,10.46818,32.797356,24.628334,41.78825
486,26.109226,21.46579,31.48265,3.6791341,25.835234,23.273943,28.148685
487,33.24702,21.69777,47.266186,11.162955,28.791576,26.458763,42.638287
488,23.333874,20.58004,41.253857,5.2100368,20.713959,20.713959,23.319115
518,30.384892,21.172249,47.039036,7.370512,27.274986,24.440865,36.03287
524,27.627157,20.500572,36.7024,5.8896475,24.632217,23.220459,32.71262
526,22.942673,22.039032,23.846313,1.277941,22.942673,22.490852,23.394493
528,25.35378,20.086594,38.63642,5.7639685,23.633049,20.454765,26.344536
529,26.783772,20.195412,43.697765,6.7767034,24.578606,22.810585,29.220476
531,24.392323,20.834549,38.231453,4.4853168,22.245255,22.245255,26.105677
533,24.793976,20.529243,34.258003,6.3579893,22.194328,21.778057,25.210247
534,25.717764,20.68325,36.822605,4.4149876,24.8666,21.811695,29.230785
540,40.71443,40.71443,40.71443,,40.71443,40.71443,40.71443
542,61.69777,61.69777,61.69777,,61.69777,61.69777,61.69777
544,33.266342,20.050629,59.69777,22.890287,20.050629,20.050629,39.8742
550,30.091978,22.33075,45.614433,13.442842,22.33075,22.33075,33.97259
551,37.77871,37.77871,37.77871,,37.77871,37.77871,37.77871
554,30.423578,20.036942,62.042114,9.292491,26.307484,24.896774,31.313019
555,30.693491,20.036942,62.042114,9.457962,26.307484,24.896774,34.265343
557,34.68509,20.190361,62.683655,10.544428,31.797691,27.48359,39.66826
560,29.90126,20.110916,61.003113,9.918994,24.893814,24.261799,35.085148
576,28.485664,20.243034,85.00311,11.810499,22.768433,20.312294,35.450172
577,29.913332,20.159393,58.465233,10.060242,25.655388,23.88713,33.316254
581,30.91123,21.187027,58.37977,10.844092,28.639528,22.156359,32.52774
587,31.973719,22.162956,57.003117,9.216256,28.234825,25.423805,35.500572
591,27.793816,20.134064,50.409863,8.527357,26.589287,20.831139,29.678713
594,30.319084,20.566414,47.866096,8.559567,27.821243,25.263344,30.872608
603,32.067333,20.40371,55.174793,10.528847,28.475727,25.31754,39.043835
607,21.174797,21.174797,21.174797,,21.174797,21.174797,21.174797
613,34.038612,22.206665,50.163067,11.074528,30.88601,26.154333,41.26719
615,34.063198,21.833405,52.112545,12.4728155,29.576973,25.461716,41.331352
625,33.34604,20.191887,85.795876,13.571179,29.878475,27.891289,32.977097
641,40.74953,25.516518,86.05672,19.480127,34.85836,30.813637,42.22049
647,31.04566,21.943642,38.564907,5.8254504,32.816925,25.549864,35.12023
651,31.971094,20.967613,53.74338,10.209556,27.641174,24.185911,39.283257
652,31.26308,22.422958,47.363243,8.262211,27.734596,25.11157,37.183136
654,41.88105,28.992832,61.363243,13.011834,37.954777,32.252308,50.490593
657,34.915115,21.117332,60.363243,15.152409,32.792225,26.246067,34.056713
658,44.47552,29.117329,85.36324,23.472252,36.326275,29.51405,42.056713
661,32.837578,25.432785,42.818867,5.932598,32.42296,28.948479,35.645737
662,32.87982,27.741013,37.529892,4.4241223,33.124195,30.054327,35.94969
666,40.42296,40.42296,40.42296,,40.42296,40.42296,40.42296
667,45.51809,40.613224,50.42296,6.9365296,45.51809,43.06566,47.970524
668,41.955914,23.831558,52.42296,15.758898,49.613224,36.72239,51.01809
669,60.718094,36.013226,85.42296,34.937958,60.718094,48.365658,73.070526
670,51.718094,41.013226,62.42296,15.1389675,51.718094,46.365658,57.070526
682,39.936466,22.549858,50.360706,11.228999,43.954777,32.930214,48.146187
687,25.854849,21.812172,38.056713,5.041451,22.844612,22.029621,28.953926
689,24.959326,20.73021,32.056713,4.536823,23.62984,21.487986,27.608952
691,29.11836,20.431892,50.056713,9.8279085,26.515558,23.285292,29.646187
705,32.812206,20.155441,58.40094,10.81661,30.360762,25.029278,35.956253
706,32.07579,20.190361,61.471897,10.283727,30.286846,24.97981,36.239708
708,31.8544,20.033722,85.4719,12.470633,28.211409,23.44181,34.488758
709,31.839584,20.764984,63.471897,11.3333435,27.149668,25.58837,32.25761
712,31.738028,20.042099,56.471897,13.572491,24.702984,22.421206,40.345963
715,30.156744,20.70768,58.56615,11.959949,27.324028,21.955551,30.671902
716,33.863422,20.877464,61.471897,9.661461,32.297714,27.141476,38.59961
717,32.68794,20.210304,85.899765,10.87241,31.119875,26.18188,36.860146
718,30.48832,20.648796,62.532898,8.448256,25.824368,24.867653,35.76284
719,30.101923,20.3247,62.303047,7.4639955,27.502945,26.360203,30.745548
720,32.212845,21.874725,60.280804,7.9015684,32.192455,26.64048,33.815044
747,30.750528,20.3013,47.29051,7.656804,30.096622,24.463966,35.34618
748,31.594442,21.121231,42.135593,9.470587,32.41307,22.988358,39.33094
753,39.482487,21.257454,58.290504,15.519024,39.190994,31.505495,47.167984
754,45.122524,20.449242,83.290504,26.933157,38.375175,31.547878,51.949818
765,29.56615,29.56615,29.56615,,29.56615,29.56615,29.56615
773,29.319004,25.704872,33.02284,3.4101462,29.27415,26.872211,31.720942
774,32.481594,26.743973,43.21615,7.708453,29.983126,26.946892,35.51783
776,29.632227,23.598244,44.888622,10.24173,25.02102,23.748905,30.904343
777,38.43573,27.556206,44.29051,9.43108,43.460476,35.50834,43.875492
781,33.289276,22.74437,45.29051,11.343402,31.83295,27.28866,38.56173
789,26.63612,20.290504,35.460476,6.3647985,25.396751,23.818409,28.214462
790,37.37574,30.948978,46.717762,8.27875,34.460476,32.704727,40.58912
795,36.42447,24.792221,48.056713,16.45048,36.42447,30.608345,42.24059
797,24.809866,20.77848,36.056713,4.423249,23.212135,21.695288,26.135014
798,32.42447,20.792229,44.056713,16.450474,32.42447,26.608349,38.240593
