i,A_i_H_PT_mean,A_i_H_PT_min,A_i_H_PT_max,A_i_H_PT_std,A_i_H_PT_median,A_i_H_PT_p_25,A_i_H_PT_p_75
3,55.37998,22.192848,81.382195,14.655764,59.414288,47.367615,64.39599
84,58.960373,24.148895,84.01161,13.20514,62.955894,53.263805,65.47725
96,63.487625,20.809082,85.97878,18.02572,68.805504,51.246418,78.06519
114,47.028324,20.356705,80.957794,14.479795,46.471672,36.89588,56.516747
133,55.975677,21.483208,81.61042,15.344075,60.5292,44.894962,66.00482
143,57.962112,20.514748,86.17782,17.15533,62.164124,47.28302,71.21155
150,60.113403,20.672821,85.742165,17.150988,63.567924,45.87882,75.771385
157,49.01108,20.542114,72.88032,13.322181,51.414516,39.176064,59.835243
176,43.37556,20.359108,77.345795,12.7334795,44.63261,34.598385,51.769947
177,43.006363,20.04496,78.70144,12.518172,44.065907,33.551514,51.657692
180,44.607956,20.452148,74.72957,12.8513155,46.76854,35.414124,53.693016
189,43.36287,21.189468,79.0257,12.177769,46.887894,32.36163,50.28874
231,46.30716,21.147438,75.759865,11.332925,47.435863,39.12042,55.74712
233,47.66695,20.60981,78.10505,12.2912,48.79126,38.620586,57.696434
234,44.908344,20.4404,70.31378,10.338567,46.364178,39.524475,53.303886
243,55.925198,21.032791,88.48359,14.497136,58.930183,47.94584,63.10027
251,54.02466,21.00579,88.13193,14.926382,56.16175,45.902096,61.025772
252,55.49255,22.130196,89.42041,14.498035,58.153,47.49264,62.210144
260,48.861004,21.57483,85.31542,14.474824,49.544613,39.624603,53.75473
272,42.504265,20.232124,81.640076,13.68872,38.73588,33.445248,52.189064
276,40.850708,20.05938,82.416145,13.906127,35.54037,33.774628,51.519646
277,41.983646,20.661598,85.004486,13.49784,36.967636,35.07603,52.445824
286,41.0015,20.086777,86.84631,14.521164,37.491745,30.667416,45.856922
288,37.981033,20.291298,82.03132,15.627768,30.951706,29.541,45.263046
289,37.414673,20.79261,77.69474,15.001025,30.01672,27.316643,44.20125
293,40.469784,20.177834,86.124306,15.624997,34.167,31.30746,48.560375
308,40.95519,20.151512,88.178154,15.564313,35.661438,29.648428,45.650276
314,39.20278,21.06105,89.042114,15.8954115,31.982977,29.944942,48.062157
332,42.150623,21.280853,81.48632,13.079409,37.051743,35.54505,52.574265
336,44.979477,20.87638,85.47361,13.398916,41.30121,36.689987,56.32936
337,43.01931,20.371193,88.16307,13.454287,38.794735,35.943424,53.70573
343,54.473816,22.370438,78.43085,12.460454,58.585953,48.06753,61.687305
348,49.613277,20.441193,85.865875,11.879264,52.553284,41.52735,54.234806
350,45.877712,20.805,85.37366,12.334193,47.097046,38.06498,51.66818
353,46.431423,20.851852,83.60041,12.855321,47.515133,38.933746,52.091206
358,41.058098,20.499565,82.49446,12.6132965,39.27051,33.10534,47.067486
360,48.795788,20.051872,82.61435,12.56328,51.91668,41.52845,55.905174
363,48.821354,22.167091,80.348816,12.810676,51.16186,41.172455,55.128258
368,45.587025,20.262062,87.51259,13.110107,46.233875,36.94956,51.575703
369,42.39215,20.095093,84.15302,12.65939,41.219845,33.542366,48.216103
370,42.383617,20.137207,83.22795,12.324463,41.18176,35.711807,47.886166
373,45.07324,20.627945,88.35187,12.792788,45.657867,35.929413,52.13905
380,41.18307,20.135132,85.647064,11.973067,39.195778,34.99633,47.979565
395,51.947,20.900955,82.60411,12.432718,53.682873,46.24552,58.05081
396,47.24848,21.806343,80.81732,12.764775,43.09746,40.460915,55.0282
397,46.79512,20.218498,81.558784,12.67704,44.82267,39.904858,54.016777
400,46.29839,21.453346,82.14524,12.972023,41.219223,39.225163,53.315495
404,49.851543,22.644875,87.92381,11.627015,51.951275,44.622833,55.30253
407,39.746296,20.511894,68.384,9.616002,40.328747,35.21656,43.166695
415,44.914757,22.444572,79.22643,13.928882,40.409836,37.661964,51.63666
419,38.755253,20.04409,80.27933,14.051526,33.50749,28.601929,46.60913
420,41.281914,21.17775,80.09971,14.267558,33.822132,32.411427,47.127808
421,41.061287,20.01921,81.36888,14.145665,34.07475,32.429184,47.3667
425,40.93407,20.922722,87.95555,13.423926,35.00386,32.58285,48.815025
426,37.784435,20.625206,79.08557,14.09095,32.599113,27.278507,44.303177
427,37.833344,20.203468,81.522835,14.501445,32.670334,27.48742,45.75373
428,37.293938,22.34433,80.99208,14.39136,31.922691,25.511734,45.299927
