i,j,A_ji_c_Car
1,1,16.777907292420927
3,1,16.239557226060764
4,1,15.417513422151755
5,1,17.636623482139523
6,1,17.932528660740076
7,1,18.850350540378553
8,1,19.91535796474716
9,1,19.364950140305982
11,1,18.910715464600372
12,1,18.101026890720547
13,1,17.162463711078072
14,1,17.446767837124614
15,1,18.53797664668454
16,1,18.306161282914697
17,1,18.583141915410938
18,1,20.283804597661668
19,1,21.562676880312566
20,1,20.821371531350614
21,1,21.281088500838894
22,1,20.032575217592573
23,1,18.513838770585775
24,1,18.65320161225407
28,1,18.252570277312447
29,1,20.386195951578483
30,1,19.47598061931177
31,1,20.12157807112125
32,1,20.94094540487164
33,1,20.46219840220377
34,1,20.607042611783967
35,1,20.819268198811383
36,1,19.29850897704108
37,1,17.766432689746292
39,1,18.55609974161077
40,1,20.31868306524063
41,1,14.718871800165456
42,1,15.75533868377811
43,1,18.74867598007676
44,1,18.579059783664565
46,1,17.60974581051823
47,1,18.901428579994466
48,1,18.437964381948138
49,1,15.245678937853258
50,1,19.017198114647186
51,1,19.090015254091597
52,1,17.69190619843478
56,1,19.302911691907816
57,1,18.11608009269767
58,1,18.034324897251622
59,1,18.05718851395381
60,1,17.42145847073086
61,1,18.488556138628084
65,1,18.637619118402824
66,1,16.816093153121017
68,1,15.992651623339226
73,1,11.891541059763938
74,1,18.116481435341363
75,1,21.147039013252883
76,1,19.73223924392682
77,1,13.809999136259435
79,1,17.665236866547062
81,1,15.55631775478862
83,1,14.14712999926919
84,1,15.173560856666803
85,1,20.306452411827703
86,1,20.556138532692778
87,1,18.648095195552596
93,1,20.03887847647176
94,1,19.227824988451804
95,1,17.938156280712352
96,1,19.012070150299582
98,1,17.13505603427134
99,1,15.10068590993128
100,1,13.563545715288097
101,1,15.497121448858996
102,1,14.829937441792975
103,1,16.329874938273843
105,1,11.944112864760365
106,1,13.790135194152894
107,1,12.784074895786928
109,1,13.519696415843098
110,1,16.34433361986047
111,1,13.398003953323341
112,1,15.241298244676763
114,1,11.861640025504736
115,1,12.704191768978816
116,1,14.205381678899096
117,1,11.800027942979538
118,1,11.361951187347424
119,1,13.95888091362402
120,1,11.982577087638978
121,1,11.782522491994714
122,1,13.107070681992186
123,1,14.332995540387437
125,1,11.472382945401652
128,1,11.29844643324919
131,1,17.434673440995475
132,1,16.82793269592296
133,1,16.184349823011715
134,1,15.770265239632721
135,1,16.5135792134383
