i,j,A_ji_c_PT
1,1,47.23808721391068
3,1,48.685954943681274
4,1,48.64131879199742
5,1,49.17661051979651
6,1,49.143827966949274
7,1,49.49047074049212
8,1,49.69768113881295
9,1,49.78155213254546
11,1,48.72006847091521
12,1,49.64336471119869
13,1,49.309209850901446
14,1,49.80438104966183
15,1,49.764197455128084
16,1,50.287043175305335
17,1,49.92527253708232
18,1,50.31517495431061
19,1,51.327206178547186
20,1,50.678286314837415
21,1,51.1001310323418
22,1,50.89177929881739
23,1,50.4756584613887
24,1,50.50476377773585
28,1,50.51816029150928
29,1,51.65533933771136
30,1,51.97554597719338
31,1,52.68356324414655
32,1,52.49234983118558
33,1,52.49348297864589
34,1,52.49909342730169
35,1,52.764434549060674
36,1,53.229193933134106
37,1,50.52575382828657
39,1,50.95017169231743
40,1,51.556586198779534
41,1,52.0252360462959
42,1,51.176214804782255
43,1,50.72542623235163
44,1,51.62219018427239
46,1,52.64028061447472
47,1,52.75883942146745
48,1,52.543721815841984
49,1,52.69081070879448
50,1,52.28117826485757
51,1,52.38292966598841
52,1,51.809376028206266
56,1,52.53861039892897
57,1,52.68052603765156
58,1,52.461406529109325
59,1,52.24275415262125
60,1,51.59601245347188
61,1,51.426234913565665
65,1,52.03659005139914
66,1,51.28197419748323
68,1,50.717066861959886
73,1,49.4609482850418
74,1,52.02786661322383
75,1,52.14275161437525
76,1,51.93237142703372
77,1,50.11098407113674
79,1,52.04374032338999
81,1,51.247330909504264
83,1,51.55029758960398
84,1,51.136507881381064
85,1,52.93452026010395
86,1,53.08631285441902
87,1,53.16768166483284
93,1,52.84290305285257
94,1,52.421949925422126
95,1,52.862917297081616
96,1,53.011859210951464
98,1,46.91827091612867
99,1,45.90238897229253
100,1,46.37031738987554
101,1,45.94984970891598
102,1,46.67862722026713
103,1,46.86877878226395
105,1,45.34181737871257
106,1,45.3982082331175
107,1,45.17901476655377
109,1,45.52133922984295
110,1,45.71810540750789
111,1,45.49369494254854
112,1,45.40664968755652
114,1,44.9552802480685
115,1,45.15287039011216
116,1,45.86770003427265
117,1,44.92122243516425
118,1,44.785547045788995
119,1,44.60255758547016
120,1,44.82292233579139
121,1,44.40857426993826
122,1,45.52451035084953
123,1,45.50525672771982
125,1,45.35921799885637
128,1,45.63830196428599
131,1,48.66627370170639
132,1,48.77998093720637
133,1,48.893786242808325
134,1,49.29958724457771
135,1,49.324741344113306
136,1,47.36666683045731
137,1,47.913175075071415
138,1,48.06461362623403
139,1,47.73448358647804
143,1,50.49198156121896
144,1,50.48841324998316
145,1,50.620904024571956
146,1,51.305640433866046
147,1,50.56432250424942
148,1,51.297763718757516
149,1,51.49479288368028
150,1,51.33833821867775
151,1,52.001540247788526
153,1,46.64277566295896
154,1,46.065975341493846
157,1,46.11050656943123
158,1,46.64843569511742
159,1,46.71319249065899
160,1,46.58227566745689
162,1,47.564771937949786
163,1,47.980846317116345
164,1,47.8419142971994
165,1,48.16717163767332
166,1,47.80043052842313
168,1,49.021706034158036
169,1,49.55441322271448
170,1,49.28717263081125
172,1,49.29128328737874
173,1,49.52593193319251
174,1,44.799802218959734
175,1,43.23368298954567
176,1,44.10558887664895
177,1,43.86494038459024
180,1,44.33816363133545
181,1,44.027949081587586
182,1,44.17382105711624
183,1,44.809137421917
185,1,44.94670454884587
186,1,44.46945833108263
187,1,43.90424869725897
188,1,45.08471944721722
189,1,44.57013837364127
190,1,44.68958637890476
194,1,45.94153307727858
195,1,46.114066452392336
196,1,44.77613270209741
197,1,45.4940224006811
198,1,45.68717642967325
199,1,52.087068146004064
200,1,52.471664361259286
202,1,50.91409328640343
203,1,51.88755041910587
204,1,51.771586482364185
205,1,50.7004487649535
206,1,50.49110394376373
207,1,50.43901056689948
208,1,51.05753775335014
209,1,50.60743135229811
212,1,49.11867842494496
213,1,49.318832731228596
214,1,50.46367366739119
215,1,49.31957365833056
221,1,49.125384678751125
222,1,48.23612108442265
223,1,47.757412888380465
224,1,47.73100776385849
225,1,48.81792658138576
226,1,47.63346991359242
227,1,47.20774731812137
230,1,48.08817964630285
231,1,48.119885579133545
232,1,48.04933866740997
233,1,48.03069185781779
234,1,48.07305699602826
235,1,46.72500001421559
236,1,46.8334636930026
237,1,50.715316136541105
238,1,49.893450695346885
240,1,50.35183962706254
241,1,49.73181181628259
242,1,49.60337459345307
243,1,50.16761841229484
244,1,50.8834392100834
245,1,49.97319241084215
246,1,49.76601872264395
247,1,49.94358942684787
248,1,48.991501521867946
249,1,49.788583588403895
250,1,49.8158382646
251,1,49.551337058134386
252,1,49.97218146580314
253,1,48.604727765677026
254,1,48.509692995565494
256,1,48.52910968899672
257,1,47.62160761781537
258,1,47.297376843690316
259,1,47.91003179477166
260,1,48.45770808803446
261,1,48.61002140586
262,1,48.067802092192224
263,1,48.397393051527665
264,1,48.117191222336196
265,1,47.96648864263863
267,1,47.934211969535184
269,1,46.78317887585498
270,1,47.55006049300252
271,1,47.3131674253935
272,1,45.830849271371626
275,1,45.43247738185158
276,1,45.283040279042694
277,1,45.47954073208426
284,1,44.146987400107754
287,1,45.07978863874422
288,1,44.54906638894452
289,1,44.06882896812939
290,1,43.990627725782126
291,1,44.90127622118581
292,1,44.66225854334491
293,1,44.38455468743539
294,1,49.88819069486891
298,1,46.96884910311216
299,1,49.3695333147933
300,1,48.89360024073176
301,1,48.859299945012296
302,1,48.532671060294696
304,1,47.18557219378928
306,1,46.32236719592238
307,1,46.72945401221902
308,1,45.03239011869445
310,1,47.25586406613407
314,1,44.03103207935093
315,1,44.40910660168962
316,1,48.53512815502097
318,1,48.05479935405804
321,1,47.684449359711756
322,1,48.27755784203702
328,1,47.18115008160194
330,1,47.34568042290689
332,1,45.12316948903084
333,1,45.26637747232538
334,1,43.90031412393243
335,1,47.13425292824576
336,1,46.333978522784115
337,1,46.180208896682664
339,1,49.40412775898993
340,1,49.08149027751398
341,1,49.18174028145679
342,1,48.66043499795304
343,1,49.21287837951876
344,1,48.68304594522037
345,1,48.45650320371529
346,1,48.61955633730975
347,1,47.5209600455542
348,1,47.76027032926845
349,1,47.022708560263375
350,1,46.98184574822826
352,1,46.40036294102613
353,1,46.82198093736294
354,1,45.47819681948635
355,1,46.549585900359524
356,1,46.04485775613018
358,1,44.803497577940675
359,1,44.600620245915174
360,1,47.60444606745366
361,1,46.98453288574661
362,1,47.50092954793918
363,1,47.491302352502615
365,1,47.429722264791046
366,1,47.29468756841134
367,1,46.561554877775265
368,1,46.53817693059958
369,1,45.32486740437851
370,1,44.7377102945984
373,1,47.12621571072836
374,1,46.75344093449024
375,1,45.486114379344926
376,1,45.0332973867916
377,1,46.4090653205802
378,1,46.23337251141834
379,1,45.20626229997835
380,1,45.07230187012133
381,1,45.3956540557692
382,1,46.331600848578134
383,1,46.476000507535666
384,1,45.70718661366947
385,1,45.59044523575357
386,1,44.06673435593663
387,1,48.55610057949964
389,1,45.146616202841386
390,1,45.73783690064644
392,1,48.01652440933984
394,1,47.22548738093463
395,1,48.24840684362257
396,1,46.3694949267332
397,1,46.424993948419925
398,1,45.94810324834298
399,1,46.48729313592357
400,1,45.54550332736557
401,1,47.62008974728245
402,1,45.72052918457218
403,1,46.362592603892864
404,1,47.742233633265016
405,1,45.75592957252831
406,1,46.965362610371585
407,1,45.04329072110633
408,1,45.08629285504513
409,1,41.90635672272086
410,1,43.94936898855964
413,1,43.08207763235904
414,1,43.88582530767114
415,1,43.88749420036075
417,1,41.716464617518675
418,1,42.065971685149215
419,1,41.11975080214979
420,1,41.810818908089466
421,1,41.7667791391303
422,1,41.21777089144985
423,1,41.68776595494835
424,1,41.03254477279561
425,1,41.74827365266684
426,1,40.30980767169939
427,1,40.592288427548056
428,1,39.85085789764049
429,1,40.26591098769331
430,1,40.70783126122106
431,1,40.16822627021888
432,1,40.081911894979676
433,1,40.485101871392224
434,1,38.70498007079747
435,1,39.921622028395994
436,1,39.49499698008844
437,1,40.352729315516086
439,1,41.85429750376617
442,1,40.6612621289397
443,1,40.538127996298236
445,1,38.08101926567894
447,1,38.45958543398361
448,1,38.08638172616671
453,1,40.83167128436545
454,1,42.05179765880941
455,1,40.10209587768539
456,1,40.51793188744951
457,1,40.57697951382297
459,1,41.8740904119771
460,1,41.73322599311554
461,1,41.193444636002866
462,1,41.8973908195015
463,1,41.51166617279696
464,1,41.5413671206804
465,1,42.230204627397704
468,1,41.60974879498803
470,1,41.29361410016438
471,1,40.16396044556394
472,1,40.74063320483514
473,1,41.54170263298506
474,1,41.2462325426962
475,1,41.1960895136876
476,1,40.987747265351786
477,1,40.77607501038069
478,1,40.88057168301817
479,1,40.24588676539613
480,1,41.59598782045534
481,1,40.539920138605
482,1,41.36903879195261
483,1,41.684168796261794
484,1,42.19347576486471
485,1,41.83792466903125
486,1,41.802487798571036
487,1,41.943619360968924
488,1,42.60725606331287
489,1,42.646539998601604
490,1,42.94849583211174
493,1,41.08065143241952
495,1,41.257381122282915
499,1,45.01422313005121
501,1,45.004093140968074
515,1,44.75219235418392
518,1,45.98144548257729
519,1,46.049469196244296
522,1,44.030093448535155
524,1,42.93173941140689
528,1,42.036213489771235
529,1,41.271051122201456
530,1,42.779443167198394
531,1,43.4609248773192
532,1,42.86005948121812
533,1,41.894460467419854
534,1,43.36010813284221
540,1,41.26640533972086
542,1,38.47519386030712
543,1,38.636558853961816
544,1,37.86493403428514
545,1,39.719514153425294
546,1,40.08763014858861
547,1,40.68056452379241
548,1,39.96208367886434
549,1,41.12314121921293
550,1,40.403353904790784
551,1,40.50163364267921
553,1,42.32397728640586
554,1,42.90960467678342
555,1,42.35768754551604
556,1,42.39623285156521
557,1,42.13032868564963
558,1,41.7030176593113
559,1,40.63335977666358
560,1,41.82947766707848
561,1,42.68471073497532
563,1,41.95816187465313
565,1,41.00044924970826
566,1,40.1531290128866
567,1,39.844070965833964
568,1,40.17189198570409
570,1,40.11913748034735
571,1,40.15432401840311
572,1,40.46420169871188
573,1,39.562760906592565
574,1,39.35679976457924
575,1,39.0216313646617
576,1,39.27131289793428
577,1,39.584225026688806
578,1,38.52232333455457
579,1,38.36028988697579
580,1,38.53420695945343
581,1,38.43955371289054
582,1,38.63994073349982
583,1,37.70516763443322
584,1,37.69909829984795
585,1,37.75502882179874
586,1,37.88960615483627
587,1,36.99349302781106
588,1,37.02845645411635
589,1,36.5269181240667
591,1,37.01317920718565
592,1,36.29596887344689
593,1,36.55065636241558
594,1,36.59834504232421
596,1,40.19184483981788
603,1,41.66738832991458
605,1,40.40144666556046
607,1,35.3317688678444
609,1,34.74018665496926
610,1,39.02312904523324
611,1,37.792603709074434
613,1,44.026284132590376
615,1,42.693605607284866
617,1,42.465062799008365
623,1,43.612034067448725
624,1,43.924386082460074
