,Z_Rejon,POI,Czas_PrT,Czas_PuT
1,1.0,1.0,260.1377127080714,1141.8086310499175
2,1.0,2.0,246.2612498292965,1381.3588284493107
3,1.0,3.0,535.5855777672161,2223.0129559823813
4,1.0,4.0,258.94455130598124,1186.423645482149
5,1.0,5.0,418.17142565173214,1584.2775079101673
6,1.0,6.0,495.3217592529449,1761.982733402977
7,1.0,7.0,484.1114694486613,999999.0
8,1.0,8.0,223.53728322267133,1043.2811076312614
9,1.0,9.0,201.79051550494728,953.8007984297124
10,1.0,10.0,208.29393731750616,1133.9163099754464
11,1.0,11.0,220.3173343319521,723.2027585098357
12,1.0,12.0,242.72187273718683,695.2255730479889
13,1.0,13.0,239.6065298419939,1127.3711125838477
14,1.0,14.0,232.15326098752615,1038.703224668189
15,1.0,15.0,78.115443779467,723.2233407448831
16,1.0,16.0,206.28196865303156,782.7592826656265
17,1.0,17.0,226.62816868096527,1234.119104734116
18,1.0,18.0,282.83919778865004,1272.5101937974814
19,1.0,19.0,243.75429281096007,1123.437656418542
20,1.0,20.0,307.4186248650473,1600.2415091460998
21,1.0,21.0,222.20021091806544,919.000986624864
22,1.0,22.0,217.30444332673702,955.9603323281669
23,1.0,23.0,411.2154099059958,1661.5731265868008
24,1.0,24.0,474.69373200046965,1783.5463330659227
25,1.0,25.0,415.223915452127,2190.2750912934
26,1.0,26.0,419.0406484284333,1868.2869448814138
27,1.0,27.0,370.5909046954629,1733.4557138380662
28,1.0,28.0,400.62702640034496,1585.7960579004687
29,1.0,29.0,459.2196717028066,999999.0
30,1.0,30.0,330.78131697754304,2020.197138897579
31,1.0,31.0,303.4701915055447,2328.109765290544
32,1.0,32.0,284.7743494591225,2184.724230923236
33,2.0,1.0,394.68100033747675,1385.8086310499175
34,2.0,2.0,105.3867301061237,545.3588284493107
35,2.0,3.0,374.5193606586587,1031.0129559823815
36,2.0,4.0,469.4722394428333,1727.423645482149
37,2.0,5.0,224.38223245822576,884.2775079101673
38,2.0,6.0,629.8650468823503,3184.982733402977
39,2.0,7.0,663.4266372544769,999999.0
40,2.0,8.0,195.1287650328659,1140.2811076312614
41,2.0,9.0,196.19086019407015,854.8007984297124
42,2.0,10.0,259.45229934008614,1034.9163099754464
43,2.0,11.0,272.84619896556416,1133.2027585098358
44,2.0,12.0,295.25073737079884,1105.2255730479887
45,2.0,13.0,164.79529213672058,402.3711125838477
46,2.0,14.0,198.42522121675069,835.703224668189
47,2.0,15.0,297.87515706112026,1133.223340744883
48,2.0,16.0,402.052531653247,1323.7592826656264
49,2.0,17.0,170.07541629048845,509.11910473411604
50,2.0,18.0,77.57512849100365,436.51019379748146
51,2.0,19.0,84.15250738962477,287.4376564185419
52,2.0,20.0,168.08798504244507,1015.2415091460997
53,2.0,21.0,404.3978021760647,1929.000986624864
54,2.0,22.0,425.42284213098594,1496.960332328167
55,2.0,23.0,217.4262167124895,705.5731265868009
56,2.0,24.0,280.90453880696333,1083.5463330659227
57,2.0,25.0,221.43472225862067,1431.2750912933998
58,2.0,26.0,223.2569671149471,1109.2869448814138
59,2.0,27.0,174.80722338197666,974.4557138380662
60,2.0,28.0,204.8433450868588,826.7960579004687
61,2.0,29.0,305.9247960712264,999999.0
62,2.0,30.0,310.05148814490576,828.1971388975788
63,2.0,31.0,282.7403626729074,867.1097652905439
64,2.0,32.0,264.0445206264852,723.724230923236
65,3.0,1.0,376.68100033747675,1385.8086310499175
66,3.0,2.0,172.5677964540257,644.3588284493107
67,3.0,3.0,323.8600076691181,967.0129559823815
68,3.0,4.0,456.1088130130341,1727.423645482149
69,3.0,5.0,226.64154778206347,940.2775079101673
70,3.0,6.0,611.8650468823503,3184.982733402977
71,3.0,7.0,650.0632108246775,999999.0
72,3.0,8.0,230.13956020552433,1140.2811076312614
73,3.0,9.0,178.19086019407015,854.8007984297124
74,3.0,10.0,241.4522993400861,1034.9163099754464
75,3.0,11.0,254.84619896556416,1133.2027585098358
76,3.0,12.0,277.25073737079884,1105.2255730479887
77,3.0,13.0,146.79529213672058,338.3711125838477
78,3.0,14.0,180.42522121675069,835.703224668189
79,3.0,15.0,284.5117306313211,1133.223340744883
80,3.0,16.0,384.052531653247,1323.7592826656264
81,3.0,17.0,151.2266461105451,445.11910473411604
82,3.0,18.0,128.16858385614512,535.5101937974814
83,3.0,19.0,170.17235403124494,386.4376564185419
84,3.0,20.0,254.10783168406522,863.2415091460997
85,3.0,21.0,386.3978021760648,1929.000986624864
86,3.0,22.0,407.42284213098594,1496.960332328167
87,3.0,23.0,205.23725146875472,641.5731265868009
88,3.0,24.0,283.16385413080104,1139.5463330659227
89,3.0,25.0,223.69403758245835,1618.2750912933998
90,3.0,26.0,258.320346156103,1296.2869448814138
91,3.0,27.0,223.82108431206422,1161.4557138380662
92,3.0,28.0,259.17337122627384,1013.7960579004687
93,3.0,29.0,293.73583082749155,999999.0
94,3.0,30.0,292.05148814490576,764.1971388975788
95,3.0,31.0,264.7403626729074,803.1097652905439
96,3.0,32.0,246.04452062648522,659.724230923236
