,Z_Rejon,POI,Do_Rejon,Czas_PrT,Czas_PuT
0,1,15.0,1,876.230887558934,156.230887558934
1,1,15.0,2,880.9971181421249,162.68088736819914
2,1,15.0,3,880.4235474138229,162.68088736819914
3,1,15.0,4,881.8491255311935,163.06422105121305
4,1,15.0,5,882.0909382371872,164.66422095584562
5,1,15.0,6,881.032946732518,163.18088736819914
6,1,15.0,7,880.8179985551803,163.14755406665495
7,1,15.0,8,878.4246624975174,162.43088736819914
8,1,15.0,9,878.9520708589523,162.18088736819914
9,1,15.0,10,878.5538474588363,161.46422066974333
10,1,15.0,11,880.2908875017135,163.68088736819914
11,1,15.0,12,880.0287953882187,163.31422105121305
12,1,15.0,13,879.9347807435959,162.81422105121305
13,1,15.0,14,881.5165788202255,163.49755444812467
14,1,15.0,15,877.8660394220321,161.34755435275724
15,1,15.0,16,883.7258192567795,163.96422066974333
16,1,15.0,17,879.8363312749832,162.54755416202238
17,1,15.0,18,882.166338112828,164.41422095584562
18,1,15.0,19,882.5355140237778,164.28088774966886
19,1,15.0,20,881.6933309106796,164.78088774966886
20,1,15.0,21,877.8615054159134,160.9475542573898
21,1,15.0,22,880.4368292360275,162.5142208604782
22,1,15.0,23,877.7475542097061,161.31422105121305
23,1,15.0,24,878.7526430158584,161.480887558934
24,1,15.0,101,886.8916884927719,169.69755378055265
25,1,15.0,102,1000875.2308875589,1000155.2308875589
26,1,15.0,103,1000875.2308875589,1000155.2308875589
27,1,15.0,104,1000875.2308875589,1000155.2308875589
28,2,15.0,1,880.6447803049057,162.89755406665495
29,2,15.0,2,885.4110108880966,169.34755387592008
30,2,15.0,3,884.8374401597946,169.34755387592008
31,2,15.0,4,886.2630182771652,169.730887558934
32,2,15.0,5,886.5048309831589,171.33088746356657
33,2,15.0,6,885.4468394784897,169.84755387592008
34,2,15.0,7,885.231891301152,169.8142205743759
35,2,15.0,8,882.838555243489,169.09755387592008
36,2,15.0,9,883.365963604924,168.84755387592008
37,2,15.0,10,882.967740204808,168.13088717746427
38,2,15.0,11,884.7047802476852,170.34755387592008
39,2,15.0,12,884.4426881341903,169.980887558934
40,2,15.0,13,884.3486734895675,169.480887558934
41,2,15.0,14,885.9304715661972,170.16422095584562
42,2,15.0,15,882.2799321680038,168.0142208604782
43,2,15.0,16,888.1397120027511,170.63088717746427
44,2,15.0,17,884.2502240209549,169.21422066974333
45,2,15.0,18,886.5802308587997,171.08088746356657
46,2,15.0,19,886.9494067697494,170.9475542573898
47,2,15.0,20,886.1072236566513,171.4475542573898
48,2,15.0,21,882.275398161885,167.61422076511076
49,2,15.0,22,884.8507219819992,169.18088736819914
50,2,15.0,23,882.1614469556778,167.980887558934
51,2,15.0,24,883.1665357618301,168.14755406665495
52,2,15.0,101,891.3055812387436,176.3642202882736
53,2,15.0,102,1000879.6447803049,1000161.8975540666
54,2,15.0,103,1000879.6447803049,1000161.8975540666
55,2,15.0,104,1000879.6447803049,1000161.8975540666
56,3,15.0,1,880.455873635289,162.89755406665495
57,3,15.0,2,885.2221042184799,169.34755387592008
58,3,15.0,3,884.6485334901779,169.34755387592008
59,3,15.0,4,886.0741116075485,169.730887558934
60,3,15.0,5,886.3159243135422,171.33088746356657
61,3,15.0,6,885.257932808873,169.84755387592008
62,3,15.0,7,885.0429846315353,169.8142205743759
63,3,15.0,8,882.6496485738724,169.09755387592008
64,3,15.0,9,883.1770569353073,168.84755387592008
65,3,15.0,10,882.7788335351913,168.13088717746427
66,3,15.0,11,884.5158735780685,170.34755387592008
67,3,15.0,12,884.2537814645736,169.980887558934
68,3,15.0,13,884.1597668199508,169.480887558934
69,3,15.0,14,885.7415648965805,170.16422095584562
70,3,15.0,15,882.0910254983871,168.0142208604782
71,3,15.0,16,887.9508053331344,170.63088717746427
72,3,15.0,17,884.0613173513382,169.21422066974333
73,3,15.0,18,886.391324189183,171.08088746356657
74,3,15.0,19,886.7605001001327,170.9475542573898
75,3,15.0,20,885.9183169870346,171.4475542573898
76,3,15.0,21,882.0864914922684,167.61422076511076
77,3,15.0,22,884.6618153123825,169.18088736819914
78,3,15.0,23,881.9725402860611,167.980887558934
79,3,15.0,24,882.9776290922134,168.14755406665495
80,3,15.0,101,891.1166745691269,176.3642202882736
81,3,15.0,102,1000879.4558736352,1000161.8975540666
82,3,15.0,103,1000879.4558736352,1000161.8975540666
83,3,15.0,104,1000879.4558736352,1000161.8975540666
