,Z_Rejon,POI,Do_Rejon,Czas_PrT_x,Czas_PuT_x,Czas_PrT_y,Czas_PuT_y
0,1.0,1.0,1.0,191.73977750159486,435.72763104991753,191.73977750159486,435.72763104991753
1,1.0,1.0,2.0,191.73977750159486,435.72763104991753,193.78864048597814,438.9596310499176
2,1.0,1.0,3.0,191.73977750159486,435.72763104991753,193.36548428537316,438.7116310499176
3,1.0,1.0,4.0,191.73977750159486,435.72763104991753,193.53035066067125,439.3236310499176
4,1.0,1.0,5.0,191.73977750159486,435.72763104991753,195.38872628899853,442.5626310499176
5,1.0,1.0,6.0,191.73977750159486,435.72763104991753,192.7469768061386,436.9986310499176
6,1.0,1.0,7.0,191.73977750159486,435.72763104991753,192.75162635984853,437.7306310499176
7,1.0,1.0,8.0,191.73977750159486,435.72763104991753,192.88809137875927,436.87663104991753
8,1.0,1.0,9.0,191.73977750159486,435.72763104991753,193.88874867423408,438.9696310499176
9,1.0,1.0,10.0,191.73977750159486,435.72763104991753,193.23944463507684,437.47763104991753
10,1.0,1.0,11.0,191.73977750159486,435.72763104991753,194.81293962265357,438.8016310499176
11,1.0,1.0,12.0,191.73977750159486,435.72763104991753,194.47445141567638,439.3306310499176
12,1.0,1.0,13.0,191.73977750159486,435.72763104991753,194.04883164615276,438.0576310499176
13,1.0,1.0,14.0,191.73977750159486,435.72763104991753,195.20841889982682,441.2346310499176
14,1.0,1.0,15.0,191.73977750159486,435.72763104991753,191.44161216168555,436.1596310499176
15,1.0,1.0,16.0,191.73977750159486,435.72763104991753,193.23089140730426,440.5236310499175
16,1.0,1.0,17.0,191.73977750159486,435.72763104991753,193.8852262695609,439.3036310499176
17,1.0,1.0,18.0,191.73977750159486,435.72763104991753,194.9561479332357,441.6506310499176
18,1.0,1.0,19.0,191.73977750159486,435.72763104991753,193.99454112556552,438.3836310499176
19,1.0,1.0,20.0,191.73977750159486,435.72763104991753,196.1252759635315,434.8086310499176
20,1.0,1.0,21.0,191.73977750159486,435.72763104991753,192.6015484611279,437.48263104991753
21,1.0,1.0,22.0,191.73977750159486,435.72763104991753,192.15360817330352,436.50163104991753
22,1.0,1.0,23.0,191.73977750159486,435.72763104991753,192.68571775241253,436.7346310499176
23,1.0,1.0,24.0,191.73977750159486,435.72763104991753,191.8723035912506,435.7776310499176
24,2.0,1.0,1.0,193.61100333109525,438.9576310499176,191.73977750159486,435.72763104991753
25,2.0,1.0,2.0,193.61100333109525,438.9576310499176,193.78864048597814,438.9596310499176
26,2.0,1.0,3.0,193.61100333109525,438.9576310499176,193.36548428537316,438.7116310499176
27,2.0,1.0,4.0,193.61100333109525,438.9576310499176,193.53035066067125,439.3236310499176
