i,mean
1,0.14414729
2,0.13750662
3,0.17500833
4,0.19193237
5,0.16613092
6,0.16494094
7,0.16199227
8,0.16453542
9,0.1650561
10,0.17497812
11,0.15052533
12,0.1723869
13,0.18435387
14,0.19191723
15,0.16624814
16,0.17457739
17,0.17513195
18,0.16582696
19,0.1712697
20,0.1643867
21,0.16588254
22,0.17847836
23,0.18502355
24,0.17893845
25,0.23627582
26,0.23114973
27,0.16695195
28,0.18551703
29,0.18391024
30,0.19768102
31,0.19631085
32,0.18768777
33,0.19041897
34,0.1929678
35,0.19652276
36,0.21528722
37,0.18414567
38,0.21710894
39,0.18126324
40,0.17477773
41,0.23065381
42,0.2181704
43,0.17711432
44,0.19192304
45,0.2187872
46,0.21671419
47,0.21124607
48,0.2110836
49,0.23277791
50,0.19416748
51,0.19449314
52,0.20145103
53,0.22236317
54,0.22585747
55,0.21060169
56,0.19750951
57,0.20913453
58,0.21250346
59,0.2025042
60,0.196092
61,0.1828047
62,0.19723743
63,0.19886206
64,0.1789183
65,0.19716692
66,0.18937963
67,0.20025134
68,0.19080782
69,0.22168955
70,0.20831402
71,0.20535079
72,0.19808319
73,0.20233189
74,0.20553134
75,0.18328534
76,0.19655901
77,0.19719078
78,0.24911061
79,0.2038829
80,0.20966803
81,0.20717807
82,0.22335498
83,0.22552173
84,0.2074744
85,0.19904116
86,0.20019735
87,0.21898533
88,0.30401573
89,0.23764555
90,0.1666149
91,0.21160096
92,0.21329184
93,0.20247738
94,0.1953701
95,0.22282527
96,0.21376431
97,0.16353914
98,0.13608612
99,0.13595466
100,0.15756181
101,0.13105127
102,0.15852074
103,0.14199276
104,0.19518079
105,0.15040337
106,0.13707149
107,0.14320108
108,0.13752106
109,0.14137506
110,0.11810374
111,0.14023405
112,0.11976676
113,0.11330674
114,0.14974469
115,0.14455771
116,0.15378153
117,0.15333913
118,0.15533854
119,0.12243153
120,0.14356662
121,0.13322188
122,0.1545169
123,0.1458357
124,0.17176594
125,0.16399774
126,0.15633969
127,0.15319937
128,0.17595528
129,0.15990725
130,0.19399068
131,0.16569845
132,0.1695509
133,0.18020898
134,0.18690462
135,0.17924857
136,0.17617075
137,0.17268512
138,0.16142328
139,0.14720297
140,0.23937856
141,0.18568283
142,0.19979918
143,0.18717313
144,0.16603728
145,0.17954431
146,0.18619339
147,0.1674525
148,0.17528695
149,0.20365393
150,0.17875488
151,0.21605018
152,0.1763618
153,0.1911179
154,0.1571882
155,0.19177485
156,0.16544417
157,0.15843768
158,0.15737489
159,0.14240785
160,0.14747025
161,0.14810537
162,0.15445273
163,0.17049982
164,0.19000843
165,0.17205858
166,0.16150354
167,0.1654953
168,0.16900334
169,0.17296758
170,0.14958927
171,0.17155185
172,0.1856109
173,0.15134203
174,0.16499588
175,0.13567206
176,0.1540364
177,0.15023044
178,0.14660548
179,0.14927457
180,0.13992527
181,0.16012257
182,0.16658421
183,0.18253787
184,0.12856744
185,0.15516466
186,0.1415026
187,0.15378246
188,0.15437174
189,0.14030015
190,0.16018866
191,0.1745006
192,0.13976628
193,0.15358074
194,0.166551
195,0.15967663
196,0.17360003
197,0.16083312
198,0.11974288
199,0.22007291
200,0.23454013
201,0.22943841
202,0.22368865
203,0.21067835
204,0.21012999
