i,X_i_H
3,0.20741186
84,0.22018501
96,0.2069207
114,0.24025151
133,0.18566898
143,0.17004196
150,0.1570466
157,0.16863023
176,0.23253974
177,0.17892109
180,0.18624069
189,0.13894497
231,0.2713448
233,0.29380932
234,0.1621153
243,0.19485003
251,0.14036185
252,0.21744826
260,0.22167628
272,0.17310311
276,0.11233867
277,0.14525807
286,0.05893242
288,-0.0065309624
289,0.012999463
293,0.12942927
308,0.10732849
314,0.08456546
332,0.17050016
336,0.20880447
337,0.13444066
343,0.22493416
348,0.14702506
350,0.1865617
353,0.22976583
358,0.14280051
360,0.20586047
363,0.21041463
368,0.20804106
369,0.16241547
370,0.1667382
373,0.1966025
380,0.14184654
395,0.16139516
396,0.14341407
397,0.15949363
400,0.18022783
404,0.10467364
407,0.14111544
415,0.17729084
419,0.09828377
420,0.103355534
421,0.13952775
425,0.09518019
426,0.115348496
427,0.11233777
428,0.14782494
429,0.13074844
430,0.118994184
434,0.08763712
437,0.0541587
443,0.118994154
460,0.04008896
462,0.10144415
463,0.030000197
464,0.14540668
470,0.08469315
474,0.013942966
475,-0.036274087
476,0.08493506
482,0.041574713
486,0.16602042
487,0.06663266
488,0.24908338
518,0.147906
524,0.086541824
526,0.14667788
528,0.14526069
529,0.077846445
531,0.1569284
533,0.105903625
534,0.13955607
540,-0.15459974
542,-0.34567004
544,-0.06346234
550,-0.04563563
551,-0.13999309
554,0.10679209
555,0.1024819
557,0.03961837
560,0.10500041
576,0.17544675
577,0.16004175
581,0.14467794
587,0.105815895
591,0.1706197
594,0.12506412
603,0.098080695
607,0.20794842
613,0.06229578
615,0.017035967
625,0.08695744
641,-0.06574945
647,0.054269332
651,0.061323985
652,0.06641157
654,-0.058420226
657,0.11292521
658,-0.074040845
661,0.13443646
662,0.15648037
666,0.011031249
667,-0.047348153
668,0.0013226119
669,-0.18163303
670,-0.054756176
682,-0.049527075
687,0.12881318
689,0.15709959
691,0.09711656
705,0.08659258
706,0.10062201
708,0.09723699
709,0.084663585
712,0.082493514
715,0.0891033
716,0.082879186
717,0.08928689
718,0.14891344
719,0.11858451
720,0.123238906
747,0.09567992
748,0.10744345
753,-0.016650267
754,-0.076100804
765,0.13000503
773,0.13571863
774,0.07058606
776,0.13262047
777,-0.013386388
781,0.055416066
789,0.19169614
790,0.019598031
795,0.06751766
797,0.19774862
798,0.09555943
800,
801,
