queue index;cyclist index;enqueue time;enqueue poistion;channel;channel index;reaction time;evacuation time
Q;c;ta;xs;n;p;ts;te
1;1;-27.4;0.5;I;1;0.7;8.5
1;2;-25.1;2.5;I;2;1.8;9.9
2;3;-18.0;0.5;I;1;0.3;8.0
2;4;-14.8;2.5;I;2;1.0;10.8
2;5;-15.5;0.5;II;1;0.5;9.2
3;6;-23.3;0.5;I;1;0.9;10.4
3;7;-1.5;1;II;2;1.7;10.8
4;8;-12.7;0.5;I;1;0.2;6.0
4;9;-10.5;2.5;I;2;0.5;7.5
5;10;-8.1;0.5;I;1;0.3;9.2
5;11;-5.2;2.5;I;2;1.1;10.5
6;12;-45.3;0.5;I;1;1.4;8.8
6;13;-17.2;2.5;I;2;4.5;9.9
7;14;-42.3;0.5;I;1;1.1;7.4
7;15;-39.6;3;I;2;1.3;8.0
7;16;-0.7;4;I;3;2.3;9.1
7;17;-38.4;1;II;1;0.7;7.9
8;18;-41.5;0.5;I;1;1.3;8.0
8;19;-38.2;0.5;II;2;1.7;9.0
9;20;-30.4;1;I;1;2.1;9.0
9;21;-14.3;3.5;I;2;1.5;8.1
9;22;-10.1;5.5;I;3;1.8;10.3
10;23;-15.6;0.5;I;1;1.8;12.5
10;24;-4.2;3;I;2;1.4;7.8
11;25;-26.3;0.5;I;1;0.9;6.7
11;26;-21.4;2.5;I;2;1.4;9.1
12;27;-40.5;2;I;1;1.3;8.8
12;28;-39.1;4;I;2;2.1;11.1
12;29;-40.1;0.5;II;1;1.2;7.2
12;30;-36.3;2.5;II;2;1.3;9.4
12;31;-21.7;6;II;3;1.1;11.2
13;32;-78.3;0.5;I;1;1.2;9.8
13;33;-23.7;2;I;2;0.7;9.9
13;34;-20.0;4;I;3;1.3;10.8
13;35;-15.1;0.5;II;1;0.5;7.6
14;36;-38.4;0.5;I;1;1.6;8.7
14;37;-37.3;1.5;I;2;2.3;8.8
14;38;-38.4;0.5;II;1;1.7;8.5
15;39;-68.3;0.5;I;1;0.9;7.8
15;40;-33.2;2.5;I;2;1.3;10.2
15;41;-36.1;1;II;1;1.1;10.6
16;42;-81.5;1;I;1;1.1;8.1
16;43;-58.6;3;I;2;1.3;8.8
16;44;-54.0;6;I;3;1.4;9.9
17;45;-97.8;0.5;I;1;0.5;7.3
17;46;-97.1;2.5;I;2;0.8;10.2
17;47;-91.4;6;I;3;1.7;11.6
17;48;-92.3;0.5;II;1;1.2;8.5
17;49;-59.4;2.5;II;2;2.1;10.9
18;50;-68.2;0.5;I;1;0.8;8.2
18;51;-33.1;2.5;I;2;1.1;9.1
18;52;-41.2;0.5;II;1;0.9;7.0
19;53;-99.2;0.5;I;1;1.1;10.8
19;54;-24.4;4.5;I;2;1.3;10.1
19;55;-7.3;7;I;3;2.2;11.0
19;56;-94.5;0.5;II;1;0.9;7.1
19;57;-81.7;0.5;III;2;1.5;7.6
20;58;-96.5;0.5;I;1;1.6;8.3
20;59;-30.7;3;I;2;2.3;8.5
20;60;-4.3;5.5;I;3;4.3;8.8
20;61;-95.4;0.5;II;1;3.3;9.7
20;62;-92.0;1;III;1;2.5;5.9
21;63;-54.0;0;I;1;1.2;9.5
21;64;-28.0;3;I;2;1.5;11.6
21;65;-51.0;0;II;1;0.9;9.2
21;66;-29.0;3;II;2;1.8;10.6
21;67;-1.4;5;II;3;3.6;10.6
22;68;-67.2;0.5;I;1;0.5;7.5
22;69;-64.8;2.5;I;2;0.9;8.3
22;70;-11.6;4;I;3;0.8;8.7
22;71;-6.4;4;II;1;0.6;10.4
23;72;-34.0;2.5;I;1;1.3;8.9
23;73;-31.4;4.5;I;2;1.3;9.9
23;74;-20.2;2.5;II;1;1.7;7.2
23;75;-29.7;0.5;III;1;1.7;7.5
24;76;-49.2;0.5;I;1;4.6;8.6
24;77;-38.6;2.5;I;2;2.7;8.1
25;78;-60.5;0.5;I;1;1.1;7.4
25;79;-46.1;2.5;I;2;1.3;10.0
25;80;-45.2;5;I;3;1.9;10.3
25;81;-4.1;3;II;1;1.1;9.2
26;82;-60.3;0.5;I;1;2.1;10.0
26;83;-0.5;3;I;2;1.4;10.8
27;84;-58.4;0.5;I;1;1.1;6.8
27;85;-55.5;3;I;2;1.3;8.7
28;86;-73.1;0.5;I;1;0.9;6.1
28;87;-36.5;2.5;I;2;1.9;8.2
28;88;-37.4;0.5;II;1;1.1;7.7
29;89;-84.2;0.5;I;1;0.8;8.2
29;90;-1.1;2;II;1;1.3;9.2
30;91;-35.4;0.5;I;1;0.9;7.2
30;92;-29.5;2.5;I;2;1.2;7.7
30;93;-29.1;3.5;I;3;1.4;10.1
30;94;-26.3;5.5;I;4;1.8;10.3
31;95;-96.2;0.5;I;1;1.6;9.3
31;96;-78.6;3;I;2;1.2;10.65
31;97;-45.5;5.5;I;3;1.6;11.6
31;98;-51.7;0;II;1;0.7;7.1
31;99;-42.3;5;II;2;3.4;10.2
31;100;-51.9;0.5;III;1;0.7;6.5
31;101;-18.8;3;III;2;1;8.1
32;102;-65;1;I;1;1.6;9.5
32;103;-51.6;4.5;I;2;2;10.7
33;104;-62.2;0.5;I;1;1.7;11.2
33;105;-24.7;0.5;II;1;0.6;7
34;106;-80.6;0.5;I;1;0.9;7.6
34;107;-77.3;3;I;2;1.8;10.5
34;108;-34.8;5.5;I;3;2.3;11.2
34;109;-79.1;0.5;II;1;1.6;8.4
35;110;-48;2;I;1;0.7;7.9
35;111;-42.6;3;I;2;1.4;8.8
35;112;-40.2;5.5;I;3;1.6;10
35;113;-49.7;0.5;II;1;1.5;9.1
36;114;-69.4;0.5;I;1;2.5;9.6
36;115;-63.5;3;I;2;2.9;10.6
37;116;-78.4;0.5;I;1;0.7;6.6
37;117;-1.2;2.5;I;2;1.4;9.7
37;118;-62.4;0.5;II;1;1.1;8.8
37;119;-37.3;0.5;III;1;0.9;7.1
38;120;-101.2;0.5;I;1;1.1;9.2
38;121;-74.9;2.5;I;2;0.9;9.1
38;122;-61.6;1;II;1;1.3;7.2
38;123;-53.7;3;II;2;1.4;10.3
38;124;-25.6;3;III;1;1.6;10.9
39;125;-49.6;0.5;I;1;0.9;6.4
39;126;-47.1;2.5;I;2;2;8.6
39;127;-13.9;4.5;I;3;3.1;9.2
40;128;-78.3;0.5;I;1;1.1;6.5
40;129;-76.5;2.5;I;2;1.5;7.6
40;130;-48.1;5;I;3;1.9;7.9
40;131;-49.3;0.5;II;1;0.8;6.1
40;132;-49;1;III;1;1.3;7.9
41;133;-40.4;0.5;I;1;1.8;9.4
41;134;-30.3;3;I;2;1.3;6.6
42;135;-66.7;0.5;I;1;1.1;8.6
42;136;-36.3;2.5;I;2;1.3;9.1
42;137;-28;5;I;3;1.7;10.2
42;138;-38.2;0.5;II;1;1.1;7.1
42;139;-37.4;3.5;II;2;1.2;8.8
43;140;-45.7;0.5;I;1;1.1;7.5
43;141;-39.6;3;I;2;1.9;8.8
44;142;-73.5;0.5;I;1;0.6;8.7
44;143;-68.6;0.5;II;2;0.5;7.4
45;144;-63.6;0.5;I;1;0.6;7
45;145;-45.1;3;I;2;1;9.6
45;146;-45;5;I;3;2.2;10.4
45;147;-20.1;1;II;1;1.3;8.1
46;148;-44.5;0.5;I;1;1.1;8.5
46;149;-42.3;0.5;II;1;1.3;8.6
47;150;-63.7;0.5;I;1;0.9;9.1
47;151;-59.9;3;I;2;1.1;9.5
48;152;-67.5;0.5;I;1;0.7;9.1
48;153;-65.3;3;I;2;1.5;10.3
48;154;-59.8;5.5;I;3;2.1;10.6
49;155;-63.3;0.5;I;1;0.7;7.5
49;156;-61.2;3;I;2;0.8;8.2
49;157;-38.5;4.5;I;3;1.5;8.3
50;158;-79.3;0.5;I;1;0.9;9.9
50;159;-73.2;2.5;I;2;1.7;12
50;160;-64.4;3.5;I;3;2.9;11.1
50;161;-59.5;5.5;I;4;3.1;11.7
50;162;-28.2;6.5;I;5;4.9;12.2
